Date,Open,Low,High,Close,Adj Close,Volume
2021-11-04,57.00,56.75,58.00,57.00,57.00,"40,300"
2021-11-03,57.50,55.50,57.50,57.00,57.00,"9,200"
2021-11-02,57.25,57.00,57.50,57.50,57.50,"71,800"
2021-11-01,58.75,57.00,58.75,57.25,57.25,"44,900"
2021-10-31,58.00,58.75,58.75,58.75,58.75,"1,000"
