Date,Open,Low,High,Close,Adj Close,Volume
2021-11-04,20.00,20.00,20.00,20.00,20.00,0
2021-11-03,19.05,20.0,20.0,20.0,20.0,100.0
2021-11-02,20.00,19.00,19.75,19.05,19.05,"2,200"
2021-11-01,19.95,20.00,20.00,20.00,20.00,"8,200"
2021-10-31,20.00,19.00,20.00,19.95,19.95,"8,300"
