Date,Open,High,Low,Close,Adj Close,Volume
2021-07-12,15766.799805,15789.200195,15644.750000,15692.599609,15692.599609,216300
2021-07-13,15794.000000,15820.799805,15744.599609,15812.349609,15812.349609,246700
2021-07-14,15808.700195,15877.349609,15764.200195,15853.950195,15853.950195,0
2021-07-15,15872.150391,15952.349609,15855.000000,15924.200195,15924.200195,284900
2021-07-16,15958.349609,15962.250000,15882.599609,15923.400391,15923.400391,276300
2021-07-19,15754.500000,15836.900391,15707.500000,15752.400391,15752.400391,242100
2021-07-20,15703.950195,15728.450195,15578.549805,15632.099609,15632.099609,274300
2021-07-22,15736.599609,15834.799805,15726.400391,15824.049805,15824.049805,265300
2021-07-23,15856.799805,15899.799805,15768.400391,15856.049805,15856.049805,294100
2021-07-26,15849.299805,15893.349609,15797.000000,15824.450195,15824.450195,267100
2021-07-27,15860.500000,15881.549805,15701.000000,15746.450195,15746.450195,311000
2021-07-28,15761.549805,15767.500000,15513.450195,15709.400391,15709.400391,318600
2021-07-29,15762.700195,15817.349609,15737.799805,15778.450195,15778.450195,401600
2021-07-30,15800.599609,15862.799805,15744.849609,15763.049805,15763.049805,400000
2021-08-02,15874.900391,15892.900391,15834.650391,15885.150391,15885.150391,244800
2021-08-03,15951.549805,16146.900391,15914.349609,16130.750000,16130.750000,341300
2021-08-04,16195.250000,16290.200195,16176.150391,16258.799805,16258.799805,427300
2021-08-05,16288.950195,16349.450195,16210.299805,16294.599609,16294.599609,418200
2021-08-06,16304.400391,16336.750000,16223.299805,16238.200195,16238.200195,320100
2021-08-09,16281.349609,16320.750000,16179.049805,16258.250000,16258.250000,240500
2021-08-10,16274.799805,16359.250000,16202.250000,16280.099609,16280.099609,288000
2021-08-11,16327.299805,16338.750000,16162.549805,16282.250000,16282.250000,277900
2021-08-12,16303.650391,16375.500000,16286.900391,16364.400391,16364.400391,280200
2021-08-13,16385.699219,16543.599609,16376.299805,16529.099609,16529.099609,321900
2021-08-16,16518.400391,16589.400391,16480.750000,16563.050781,16563.050781,254000
2021-08-17,16545.250000,16628.550781,16495.400391,16614.599609,16614.599609,297400
2021-08-18,16691.949219,16701.849609,16535.849609,16568.849609,16568.849609,251800
2021-08-20,16382.500000,16509.550781,16376.049805,16450.500000,16450.500000,350800
2021-08-23,16592.250000,16592.500000,16395.699219,16496.449219,16496.449219,275600
2021-08-24,16561.400391,16647.099609,16495.300781,16624.599609,16624.599609,275400
2021-08-25,16654.000000,16712.449219,16617.500000,16634.650391,16634.650391,265900
2021-08-26,16627.949219,16683.699219,16603.400391,16636.900391,16636.900391,253500
2021-08-27,16642.550781,16722.050781,16565.599609,16705.199219,16705.199219,217400
2021-08-30,16775.849609,16951.500000,16764.849609,16931.050781,16931.050781,283500
2021-08-31,16947.500000,17153.500000,16915.849609,17132.199219,17132.199219,464400
2021-09-01,17185.599609,17225.750000,17055.050781,17076.250000,17076.250000,301900
2021-09-02,17095.400391,17245.500000,17059.699219,17234.150391,17234.150391,242400
2021-09-03,17262.449219,17340.099609,17212.199219,17323.599609,17323.599609,261400
2021-09-06,17399.349609,17429.550781,17345.550781,17377.800781,17377.800781,228000
2021-09-07,17401.550781,17436.500000,17287.000000,17362.099609,17362.099609,243400
2021-09-08,17375.750000,17383.400391,17254.199219,17353.500000,17353.500000,252700
2021-09-09,17312.849609,17379.650391,17302.699219,17369.250000,17369.250000,241500
2021-09-13,17363.550781,17378.349609,17269.150391,17355.300781,17355.300781,241100
2021-09-14,17420.349609,17438.550781,17367.050781,17380.000000,17380.000000,230400
2021-09-15,17387.650391,17532.699219,17386.900391,17519.449219,17519.449219,388200
2021-09-16,17539.199219,17644.599609,17510.449219,17629.500000,17629.500000,503300
2021-09-17,17709.650391,17792.949219,17537.650391,17585.150391,17585.150391,508300
2021-09-20,17443.849609,17622.750000,17361.800781,17396.900391,17396.900391,339100
2021-09-21,17450.500000,17578.349609,17326.099609,17562.000000,17562.000000,363600
2021-09-22,17580.900391,17610.449219,17524.000000,17546.650391,17546.650391,295200
2021-09-23,17670.849609,17843.900391,17646.550781,17822.949219,17822.949219,320500
2021-09-24,17897.449219,17947.650391,17819.400391,17853.199219,17853.199219,360100
2021-09-27,17932.199219,17943.500000,17802.900391,17855.099609,17855.099609,295700
2021-09-28,17906.449219,17912.849609,17576.099609,17748.599609,17748.599609,398000
2021-09-29,17657.949219,17781.750000,17608.150391,17711.300781,17711.300781,562200
2021-09-30,17718.900391,17742.150391,17585.349609,17618.150391,17618.150391,378600
